customer_id,month_year,avg_3mth_lag_fxd_brdbnd_total_download_gb,avg_3mth_fxd_brdbnd_total_sessions,min_months_until_contract_end,payment_mode_cash_cnt,max_months_until_contract_end,lag2_sum_net_revenue_amt,payment_mode_credit_card_cnt,lag2_sum_price,lag2_sum_unifi_stmx_rev_amt,lag2_sum_monthly_charges,lag2_sum_inv_tax_amt,payment_cent_type_bank_or_card_cnt,any_6mth_price_hike_10pct,account_cnt,lag2_fxd_voice_tot_usage_discnt_chrgs,lag2_sum_hypptv_revenue_amt,sum_hypptv_revenue_amt,revenue_score,fxd_voice_tot_usage_discnt_chrgs,avg_6m_cnt_prod_w,fxd_voice_wkend_tot_usage_discnt_chrgs,lag2_fxd_voice_wkday_tot_usage_discnt_chrgs,payment_cent_type_sbbs_or_mppj_cnt,spdtst_test_cnt,spdtst_avg_jitter,lag1_spdtst_avg_upload_kbps,lag1_spdtst_max_upload_kbps,payment_cent_type_post_office_cnt,tot_srvc_cnt,lag1_sum_hypptv_revenue_amt,avg_3m_tot_srvc_cnt,fxd_voice_wkday_tot_usage_discnt_chrgs,fxd_voice_wkday_postcode,fxd_voice_postcode,ct_unifi_super_value_pckg,fxd_voice_wkend_postcode,hypptv_rev_postcode,fxd_brdbnd_postcode,voice_rev_postcode,usage_charge_postcode,ct_promo_pckg,marital_status,ct_pckg_less_50_myr,monthly_charge_postcode,unifi_stmx_rev_postcode,net_revenue_postcode,is_out_of_contract,ct_unifi_pckg_less_150_myr,ct_pckg_over_100_myr,revenue_band,cnt_of_contracts,speed_upsell,y_pred,decile,percentile,y_pred_calibrated
1-14D-23613,202308,90.59866,38.333332,2.8387096,0,2.8387096,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,885,889,0,887,822,831,822,822,1,3,0,819,820,828,0,1,0,2,1,0,0.001291924,9,93,0.009575803
1-14D-35097,202308,37.592,9.333333,,0,,89.4,1,69,89,89,5.364,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,885,889,0,887,822,831,822,822,1,2,0,819,820,828,1,1,0,2,0,0,0.001827162,4,44,0.009716364
1-14D-5150,202308,45.095,6.333333,3.483871,0,3.483871,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0.16666667,,,0,0,,,,0,1,0,1.3333334,,479,481,0,479,455,460,455,455,1,3,0,455,455,458,0,1,0,2,1,0,0.001300461,9,90,0.009578029
1-14G-11767,202308,228.861,7.333333,,0,,109,1,99,109,99,6.54,1,0,1,,0,0,4,,0,,,0,0,,,,0,1,0,1,,884,888,0,886,821,830,821,821,0,3,0,818,819,827,1,1,0,2,0,0,0.003317593,0,4,0.010118627
1-14G-13514,202308,151.23666,0.666667,,1,,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,893,897,0,895,830,839,830,830,1,3,0,827,828,836,0,1,0,2,0,0,0.001848376,4,41,0.009721977
1-14G-14367,202308,237.38533,18,16.387096,1,16.387096,69,0,69,69,69,4.14,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,908,910,0,909,841,851,841,841,1,3,0,838,839,847,0,1,0,2,1,0,0.00133064,8,83,0.009585902
1-14G-17250,202308,173.64734,5.666667,,1,,149,0,149,89,149,8.94,1,0,1,,60,60,4,,0,,,0,0,,,,0,1,60,1,,675,674,0,674,640,645,640,640,0,3,0,637,638,642,0,1,1,2,0,0,0.003030803,0,5,0.010039963
1-14G-35130,202308,125.80666,9,,0,,89.5,0,69,89,89,5.37,1,0,1,,0,0,3,,0,,,0,0,,,,0,2,0,2,,905,907,0,906,838,848,838,838,1,0,0,835,836,844,1,1,0,2,0,0,0.002091818,1,17,0.009786619
1-14G-709,202308,374.002,6.666667,,1,,89.8,0,69,89,89,5.388,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,957,956,0,957,881,892,881,881,1,3,0,878,879,889,1,1,0,2,0,0,0.001791572,4,49,0.009706954
1-14G-9197,202308,69.80867,0.666667,,1,,89,0,85,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,888,892,0,890,825,834,825,825,0,3,0,822,823,831,1,1,0,2,0,0,0.00182129,4,45,0.009714811
1-14LMZDQ,202308,34.074,2,,0,,89,0,85,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,759,759,0,760,712,720,712,712,0,3,0,709,710,716,1,1,0,2,0,0,0.001771062,5,51,0.009701536
1-14M-10569,202308,95.80666,44.666668,,1,,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,2,0,2,,908,910,0,909,841,851,841,841,1,3,0,838,839,847,0,1,0,2,0,0,0.001749997,5,54,0.009695974
1-14M-28879,202308,743.6373,2.333333,5.580645,0,5.580645,99,0,99,99,99,5.94,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,903,905,1,903,836,846,836,836,0,3,0,833,834,842,0,1,0,2,1,0,0.00186139,3,39,0.009725422
1-14M-30517,202308,0,0,20.483871,1,20.483871,56.1,0,69,56.1,56.1,3.366,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,893,897,0,895,830,839,830,830,1,3,0,827,828,836,0,1,0,2,1,0,0.001254452,9,99,0.009566038
1-14M-31121,202308,59.770332,1.666667,23.451612,,23.451612,192.1,,69,99,89,11.53,,0,,,0,0,4,,0.5,,,,0,,,,,2,0,2,,880,884,0,882,817,826,817,817,0,3,0,814,815,823,1,1,0,2,1,0,0.011174091,0,0,0.012527443
1-14M-39989,202308,91.12566,2.666667,,0,,89,1,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,900,903,0,901,834,844,834,834,1,0,0,831,832,840,1,1,0,2,0,0,0.001824905,4,44,0.009715767
1-14M-42993,202308,28.59,2.333333,,1,,100.6,0,99,99,99,6.036,1,0,1,,0,0,4,0,0,0,,0,0,,,,0,1,0,1,0,884,888,0,886,821,830,821,821,0,3,0,818,819,827,1,1,0,2,0,0,0.002922795,0,6,0.010010495
1-14M-43145,202308,163.83867,5,,1,,89,0,69,89,89,5.34,0,0,1,,0,0,3,,0,,,1,0,,,,0,1,0,1,,908,910,0,909,841,851,841,841,1,3,0,838,839,847,0,1,0,2,0,0,0.001868915,3,38,0.009727414
1-14M-43155,202308,131.28267,13,,1,,99,0,69,99,89,5.94,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,885,889,0,887,822,831,822,822,1,3,0,819,820,828,1,1,0,2,0,0,0.001805891,4,47,0.009710739
1-14M-43669,202308,337.813,3.666667,,1,,89,0,85,89,89,5.34,0,0,1,,0,0,3,0,0,0,,1,0,,,,0,1,0,1,0,893,897,0,895,830,839,830,830,0,0,0,827,828,836,1,1,0,2,0,0,0.001924092,3,30,0.009742037
1-14M-4729,202308,23.125668,1,6.387097,,6.387097,89,,69,89,89,5.34,,0,,,0,0,3,0,0,0,,,0,,,,,1,0,1,0,882,886,0,884,819,828,819,819,1,3,0,816,817,825,0,1,0,2,1,0,0.001300691,8,89,0.009578089
